# V0=20.0, s=0.5 
#  x1  x2  denmat
#   
   -5.000000E+00    -5.000000E+00     9.119858E-10
   -5.000000E+00    -4.950000E+00     9.376466E-10
   -5.000000E+00    -4.900000E+00     1.015154E-09
   -5.000000E+00    -4.850000E+00     1.147484E-09
   -5.000000E+00    -4.800000E+00     1.340379E-09
   -5.000000E+00    -4.750000E+00     1.602374E-09
   -5.000000E+00    -4.700000E+00     1.945045E-09
   -5.000000E+00    -4.650000E+00     2.383321E-09
   -5.000000E+00    -4.600000E+00     2.935938E-09
   -5.000000E+00    -4.550000E+00     3.625982E-09
   -5.000000E+00    -4.500000E+00     4.481576E-09
   -5.000000E+00    -4.450000E+00     5.536676E-09
   -5.000000E+00    -4.400000E+00     6.832014E-09
   -5.000000E+00    -4.350000E+00     8.416188E-09
   -5.000000E+00    -4.300000E+00     1.034691E-08
   -5.000000E+00    -4.250000E+00     1.269241E-08
   -5.000000E+00    -4.200000E+00     1.553307E-08
   -5.000000E+00    -4.150000E+00     1.896320E-08
   -5.000000E+00    -4.100000E+00     2.309306E-08
   -5.000000E+00    -4.050000E+00     2.805108E-08
   -5.000000E+00    -4.000000E+00     3.398631E-08
   -5.000000E+00    -3.950000E+00     4.107108E-08
   -5.000000E+00    -3.900000E+00     4.950397E-08
   -5.000000E+00    -3.850000E+00     5.951285E-08
   -5.000000E+00    -3.800000E+00     7.135831E-08
   -5.000000E+00    -3.750000E+00     8.533715E-08
   -5.000000E+00    -3.700000E+00     1.017861E-07
   -5.000000E+00    -3.650000E+00     1.210856E-07
   -5.000000E+00    -3.600000E+00     1.436639E-07
   -5.000000E+00    -3.550000E+00     1.700007E-07
   -5.000000E+00    -3.500000E+00     2.006314E-07
   -5.000000E+00    -3.450000E+00     2.361502E-07
   -5.000000E+00    -3.400000E+00     2.772144E-07
   -5.000000E+00    -3.350000E+00     3.245468E-07
   -5.000000E+00    -3.300000E+00     3.789384E-07
   -5.000000E+00    -3.250000E+00     4.412505E-07
   -5.000000E+00    -3.200000E+00     5.124152E-07
   -5.000000E+00    -3.150000E+00     5.934355E-07
   -5.000000E+00    -3.100000E+00     6.853840E-07
   -5.000000E+00    -3.050000E+00     7.893996E-07
   -5.000000E+00    -3.000000E+00     9.066829E-07
   -5.000000E+00    -2.950000E+00     1.038490E-06
   -5.000000E+00    -2.900000E+00     1.186122E-06
   -5.000000E+00    -2.850000E+00     1.350917E-06
   -5.000000E+00    -2.800000E+00     1.534231E-06
   -5.000000E+00    -2.750000E+00     1.737428E-06
   -5.000000E+00    -2.700000E+00     1.961855E-06
   -5.000000E+00    -2.650000E+00     2.208822E-06
   -5.000000E+00    -2.600000E+00     2.479578E-06
   -5.000000E+00    -2.550000E+00     2.775283E-06
   -5.000000E+00    -2.500000E+00     3.096977E-06
   -5.000000E+00    -2.450000E+00     3.445551E-06
   -5.000000E+00    -2.400000E+00     3.821710E-06
   -5.000000E+00    -2.350000E+00     4.225943E-06
